#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
470	Harrison Bader	SFG	3.4%	.143	.172	29	87	32.2%	.310	.209	.482
471	Rikuu Nishida	CHW	0.0%	.240	.240	29	26	15.4%	.240	.214	.480
472	Derek Hill	2 Tms	8.6%	.194	.286	43	35	37.1%	.194	.234	.479
473	Eli White	ATL	0.0%	.182	.182	24	44	20.5%	.295	.205	.477
474	Patrick Wisdom	SEA	4.2%	.130	.167	29	24	33.3%	.304	.204	.471
475	Matt Vierling	DET	5.3%	.161	.203	25	133	19.5%	.266	.208	.469
476	Victor Scott II	STL	11.2%	.146	.254	40	125	28.0%	.214	.225	.468
477	Travis d'Arnaud	LAA	7.4%	.167	.259	36	27	18.5%	.208	.225	.468
478	Hayden Senger	NYM	0.0%	.133	.133	21	16	25.0%	.333	.196	.467
479	Carson Williams	TBR	5.3%	.176	.222	25	19	31.6%	.235	.208	.458
480	Nick Allen	HOU	6.1%	.205	.250	28	49	22.4%	.205	.211	.455
481	Ali Sánchez	NYY	14.3%	.167	.286	40	7	42.9%	.167	.228	.452
482	Garrett Stubbs	PHI	3.8%	.182	.269	33	26	15.4%	.182	.220	.451
483	Coby Mayo	BAL	7.2%	.145	.217	27	152	36.2%	.232	.208	.449
484	Jake Rogers	DET	7.8%	.127	.206	21	64	29.7%	.236	.202	.443
485	Andrew McCutchen	TEX	6.1%	.200	.242	25	33	42.4%	.200	.205	.442
486	Lenyn Sosa	2 Tms	0.0%	.186	.197	17	72	15.3%	.243	.195	.440
487	J.C. Escarra	NYY	7.0%	.152	.211	21	71	22.5%	.227	.201	.439
488	LuJames Groover	ARI	8.3%	.182	.250	24	24	16.7%	.182	.207	.432
489	Tyrone Taylor	NYM	5.4%	.154	.200	21	56	12.5%	.231	.196	.431
490	Jase Bowen	SDP	0.0%	.214	.214	18	14	57.1%	.214	.191	.429
491	Trey Mancini	LAA	0.0%	.222	.200	4	10	10.0%	.222	.178	.422
492	Miles Mastrobuoni	SEA	8.0%	.182	.240	26	25	40.0%	.182	.199	.422
493	Thomas Saggese	STL	3.7%	.173	.204	15	54	31.5%	.212	.188	.415
494	Christopher Morel	MIA	8.3%	.140	.229	19	48	35.4%	.186	.201	.415
495	Chadwick Tromp	ATL	0.0%	.214	.200	5	16	18.8%	.214	.178	.414
496	Gabriel Rincones Jr.	PHI	0.0%	.118	.118	0	17	23.5%	.294	.173	.412
497	Michael Helman	TEX	5.3%	.133	.278	34	19	10.5%	.133	.219	.411
498	Josh Rojas	KCR	0.0%	.200	.200	2	5	0.0%	.200	.178	.400
499	Jared Oliva	SFG	0.0%	.200	.200	8	5	20.0%	.200	.178	.400
500	Billy Cook	PIT	0.0%	.200	.200	4	10	30.0%	.200	.178	.400
501	Ryan Ritter	COL	0.0%	.200	.200	-8	5	20.0%	.200	.178	.400
502	Jim Jarvis	ATL	0.0%	.200	.200	5	5	40.0%	.200	.178	.400
503	Freddy Fermin	SDP	9.7%	.115	.216	18	113	21.2%	.177	.192	.393
504	Vidal Bruján	NYM	11.1%	.143	.250	23	9	11.1%	.143	.199	.393
505	Ramón Urías	STL	6.4%	.122	.213	13	47	17.0%	.171	.187	.383
506	Collin Price	HOU	9.1%	.100	.182	6	11	45.5%	.200	.179	.382
507	Reese McGuire	CHW	6.5%	.148	.233	13	31	25.8%	.148	.190	.381
508	Bo Naylor	CLE	7.8%	.113	.182	6	77	23.4%	.197	.177	.379
509	Juan Brito	CLE	5.6%	.121	.194	7	36	25.0%	.182	.179	.376
510	Esmerlyn Valdez	PIT	5.9%	.063	.118	-8	17	52.9%	.250	.162	.368
511	Sam Haggerty	TEX	0.0%	.182	.182	-4	11	27.3%	.182	.162	.364
512	Sam Huff	BAL	0.0%	.143	.143	-10	14	42.9%	.214	.154	.357
513	Jerar Encarnacion	SFG	0.0%	.176	.176	-6	17	17.6%	.176	.157	.353
514	Bryce Teodosio	LAA	15.4%	.100	.250	13	13	23.1%	.100	.191	.350
515	Christian Koss	SFG	0.0%	.091	.167	0	12	16.7%	.182	.166	.348
516	Denzel Clarke	ATH	8.6%	.133	.212	-2	35	45.7%	.133	.172	.345
517	Ke'Bryan Hayes	CIN	6.3%	.111	.167	-12	96	16.7%	.178	.160	.344
518	Daniel Johnson	HOU	15.4%	.091	.231	4	13	23.1%	.091	.176	.322
519	Ha-Seong Kim	ATL	12.1%	.103	.212	-3	33	21.2%	.103	.166	.316
520	Addison Barger	TOR	16.7%	.053	.208	0	24	25.0%	.105	.169	.314
521	Zack Short	2 Tms	3.3%	.107	.167	-12	30	36.7%	.143	.149	.310
522	Rafael Marchán	PHI	2.0%	.102	.137	-23	51	17.6%	.163	.138	.301
523	Felix Reyes	PHI	0.0%	.118	.118	-31	17	23.5%	.176	.127	.294
524	Chad Stevens	COL	12.5%	.077	.188	-32	16	37.5%	.077	.143	.264
525	Rob Refsnyder	SEA	4.8%	.105	.150	-25	21	28.6%	.105	.124	.255
526	Will Wilson	SEA	25.0%	.000	.250	9	4	25.0%	.000	.175	.250
527	Charles McAdoo	TOR	0.0%	.125	.125	-40	16	12.5%	.125	.112	.250
528	Jordan Beck	COL	6.4%	.068	.128	-50	47	23.4%	.114	.117	.241
529	Jose Trevino	CIN	2.9%	.091	.118	-46	35	11.4%	.121	.110	.239
530	César Salazar	HOU	17.6%	.000	.235	-2	17	17.6%	.000	.167	.235
531	Blake Perkins	MIL	9.8%	.057	.175	-25	41	29.3%	.057	.133	.232
532	Jeimer Candelario	LAA	0.0%	.077	.077	-51	13	38.5%	.154	.097	.231
533	Sean Murphy	ATL	0.0%	.111	.111	-49	9	44.4%	.111	.099	.222
534	Colby Thomas	ATH	0.0%	.111	.111	-52	9	33.3%	.111	.099	.222
535	Carlos Santana	ARI	4.5%	.048	.091	-56	22	36.4%	.095	.089	.186
536	Sandy León	ATL	0.0%	.083	.083	-66	24	41.7%	.083	.074	.167
537	Greg Jones	MIL	0.0%	.071	.071	-72	15	40.0%	.071	.064	.143
538	Ryan Bliss	SEA	14.3%	.000	.143	-42	7	28.6%	.000	.100	.143
539	Austin Wynns	2 Tms	6.7%	.036	.100	-66	30	33.3%	.036	.076	.136
540	Aramis Garcia	ARI	0.0%	.063	.063	-79	16	37.5%	.063	.056	.125
541	Oliver Dunn	TBR	12.5%	.000	.125	-57	8	25.0%	.000	.088	.125
542	Jahmai Jones	DET	0.0%	.059	.059	-81	17	47.1%	.059	.052	.118
543	Tommy Pham	NYM	0.0%	.000	.000	-100	3	100.0%	.000	.000	.000
544	Scott Kingery	CHC	0.0%	.000	.000	-100	2	0.0%	.000	.000	.000
545	Dylan Moore	PHI	0.0%	.000	.000	-100	3	66.7%	.000	.000	.000
546	Chuckie Robinson	LAD	0.0%	.000	.000	-100	5	40.0%	.000	.000	.000
547	Dylan Carlson	CHC	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
548	Logan Porter	2 Tms	0.0%	.000	.000	-100	1	100.0%	.000	.000	.000
549	Luken Baker	ARI	0.0%	.000	.000	-100	2	100.0%	.000	.000	.000
550	Buddy Kennedy	SFG	0.0%	.000	.000	-100	2	50.0%	.000	.000	.000
551	Michael Siani	BAL	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
552	Blake Hunt	SDP	0.0%	.000	.000	-100	1	100.0%	.000	.000	.000
553	Eric Wagaman	NYM	0.0%	.000	.000	-100	3	33.3%	.000	.000	.000
554	Michael Stefanic	ATH	0.0%	.000	.000	-100	2	50.0%	.000	.000	.000
555	Will Brennan	SFG	0.0%	.000	.000	-100	21	14.3%	.000	.000	.000
556	Kevin Alcántara	CHC	0.0%	.000	.000	-100	3	66.7%	.000	.000	.000
557	Maverick Handley	BAL	0.0%	.000	.000	-100	1	100.0%	.000	.000	.000
558	Victor Bericoto	SFG	0.0%	.000	.000	-100	5	0.0%	.000	.000	.000
559	Davis Wendzel	PIT	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
560	Trei Cruz	DET	0.0%	.000	.000	-100	4	50.0%	.000	.000	.000
561	Brett Harris	ATH	0.0%	.000	.000	-100	3	66.7%	.000	.000	.000
562	Kahlil Watson	CLE	0.0%	.000	.000	-100	9	66.7%	.000	.000	.000
563	Kyler Fedko	MIN	0.0%	.000	.000	-100	4	0.0%	.000	.000	.000
564	César Prieto	STL	0.0%	.000	.000	-100	14	14.3%	.000	.000	.000
565	Otto Kemp	PHI	0.0%	.000	.000	-100	5	40.0%	.000	.000	.000
566	Nick Morabito	NYM	0.0%	.000	.000	-100	5	100.0%	.000	.000	.000
567	Christian Moore	LAA	0.0%	.000	.000	-100	4	75.0%	.000	.000	.000
