#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
490	Tristan Peters	CHW	0.0%	.125	.125	-40	18	22.2%	.125	.112	.250
491	Sebastián Rivero	LAA	7.1%	.083	.154	-33	14	14.3%	.083	.123	.237
492	Ha-Seong Kim	ATL	9.7%	.071	.161	-31	31	25.8%	.071	.126	.233
493	Sandy León	ATL	0.0%	.111	.111	-48	18	44.4%	.111	.099	.222
494	Zach McKinstry	DET	21.1%	.000	.222	-10	19	26.3%	.000	.156	.222
495	Cole Carrigg	COL	0.0%	.111	.111	-62	9	22.2%	.111	.099	.222
496	Jackson Holliday	BAL	7.1%	.077	.143	-37	14	50.0%	.077	.114	.220
497	Hyeseong Kim	LAD	6.7%	.071	.133	-43	15	33.3%	.071	.106	.205
498	Joey Loperfido	HOU	0.0%	.091	.091	-60	11	18.2%	.091	.081	.182
499	Jorge Polanco	NYM	5.9%	.063	.118	-48	17	23.5%	.063	.094	.180
500	Andy Ibáñez	2 Tms	0.0%	.091	.083	-62	24	12.5%	.091	.075	.174
501	Evan Carter	TEX	9.7%	.037	.133	-46	31	35.5%	.037	.100	.170
502	Buddy Kennedy	SFG	16.7%	.000	.167	-34	6	33.3%	.000	.117	.167
503	Victor Mesa Jr.	TBR	14.3%	.000	.167	-37	7	28.6%	.000	.117	.167
504	Chad Stevens	COL	16.7%	.000	.167	-50	18	38.9%	.000	.117	.167
505	Wade Meckler	LAA	16.7%	.000	.167	-37	6	33.3%	.000	.117	.167
506	Spencer Jones	NYY	16.7%	.000	.167	-35	6	50.0%	.000	.117	.167
507	Luis Matos	MIL	0.0%	.077	.077	-68	13	46.2%	.077	.069	.154
508	Colton Cowser	BAL	0.0%	.071	.071	-71	15	53.3%	.071	.064	.143
509	Nick Morabito	NYM	0.0%	.000	.143	-41	7	57.1%	.000	.105	.143
510	Adrian Del Castillo	ARI	0.0%	.056	.056	-83	18	50.0%	.056	.050	.111
511	Jase Bowen	SDP	10.0%	.000	.100	-64	10	20.0%	.000	.070	.100
512	Tommy Pham	NYM	9.1%	.000	.091	-69	11	36.4%	.000	.064	.091
513	Bryce Johnson	SDP	7.7%	.000	.077	-75	13	38.5%	.000	.054	.077
514	Carson Williams	TBR	7.1%	.000	.071	-82	14	35.7%	.000	.050	.071
515	Nathaniel Lowe	CIN	5.9%	.000	.059	-92	17	29.4%	.000	.041	.059
516	Garrett Stubbs	PHI	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
517	P.J. Higgins	CIN	0.0%	.000	.000	-100	4	25.0%	.000	.000	.000
518	Ali Sánchez	NYY	0.0%	.000	.000	-100	5	60.0%	.000	.000	.000
519	Nick Solak	SDP	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
520	Sean Murphy	ATL	0.0%	.000	.000	-100	5	40.0%	.000	.000	.000
521	Chuckie Robinson	LAD	0.0%	.000	.000	-100	2	0.0%	.000	.000	.000
522	Pavin Smith	ARI	0.0%	.000	.000	-100	2	0.0%	.000	.000	.000
523	Jared Oliva	SFG	0.0%	.000	.000	-100	2	0.0%	.000	.000	.000
524	Dylan Carlson	CHC	0.0%	.000	.000	-100	3	66.7%	.000	.000	.000
525	Vidal Bruján	NYM	0.0%	.000	.000	-100	4	0.0%	.000	.000	.000
526	Hayden Senger	NYM	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
527	Will Benson	CIN	0.0%	.000	.000	-100	1	0.0%	.000	.000	.000
528	George Valera	CLE	0.0%	.000	.000	-100	2	50.0%	.000	.000	.000
