#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
17	Braydon Fisher	TOR	0.00	13.50	-33.3%	9.84	12.26	1.1	0.87	25.0%	25.0%	50.0%
18	Bryan Hudson	CHW	6.75	0.00	20.0%	3.84	3.75	2.2	0.87	0.0%	42.9%	57.1%
19	Bryan Woo	SEA	9.75	1.50	22.9%	3.42	3.20	12.0	0.90	21.9%	34.4%	43.8%
20	Bryce Elder	ATL	7.20	3.60	7.1%	4.49	4.83	10.0	0.90	32.6%	39.5%	27.9%
21	Bryce Miller	SEA	9.69	0.00	33.3%	2.44	2.19	13.0	0.87	14.3%	39.3%	46.4%
22	Bubba Chandler	PIT	5.40	2.31	8.3%	5.23	4.87	11.2	0.87	20.6%	38.2%	41.2%
23	Cade Cavalli	WSN	7.04	3.52	8.3%	4.07	4.34	7.2	0.87	28.0%	52.0%	20.0%
24	Cam Schlittler	NYY	13.85	2.77	30.8%	2.09	2.36	13.0	0.87	23.1%	46.2%	30.8%
25	Carlos Rodón	NYY	11.45	3.27	21.3%	3.27	3.36	11.0	0.87	27.6%	31.0%	41.4%
26	Carson Whisenhunt	SFG	3.60	3.60	0.0%	5.59	5.94	5.0	0.92	26.3%	36.8%	36.8%
27	Casey Legumina	TBR	5.40	0.00	14.3%	3.70	1.78	1.2	0.87	20.0%	80.0%	0.0%
28	Casey Mize	DET	5.79	1.93	9.5%	4.70	5.15	4.2	0.87	41.2%	17.6%	41.2%
29	Chase Burns	CIN	12.33	4.70	19.4%	3.48	3.62	15.1	0.87	28.9%	28.9%	42.1%
30	Chris Sale	ATL	10.32	1.59	22.9%	2.78	3.01	11.1	0.87	28.1%	43.8%	28.1%
31	Christian Scott	NYM	11.57	1.93	22.7%	3.09	3.19	4.2	0.87	26.7%	33.3%	40.0%
32	Colin Rea	CHC	4.50	2.70	4.4%	5.99	5.63	10.0	0.87	16.7%	33.3%	50.0%
33	Connelly Early	BOS	8.44	3.38	11.8%	5.01	4.25	10.2	0.87	8.8%	52.9%	38.2%
34	Connor Prielipp	MIN	4.50	3.75	1.8%	5.59	5.56	12.0	0.87	18.2%	45.5%	36.4%
35	Cristopher Sánchez	PHI	6.17	1.54	12.2%	3.78	4.10	11.2	0.87	20.5%	48.7%	30.8%
36	David Peterson	NYM	11.25	4.50	15.0%	3.22	3.82	4.0	0.87	30.8%	46.2%	23.1%
37	Davis Martin	CHW	8.22	3.52	11.4%	4.40	4.44	15.1	0.89	28.6%	34.7%	36.7%
38	Drew Anderson	DET	16.88	6.75	25.0%	2.72	3.31	2.2	0.92	0.0%	60.0%	40.0%
39	Drew Rasmussen	TBR	12.86	0.64	38.0%	1.63	1.70	14.0	0.87	25.9%	40.7%	33.3%
40	Dustin May	STL	9.00	1.59	22.2%	3.21	3.19	17.0	0.78	14.0%	44.2%	41.9%
41	Dylan Cease	TOR	14.73	4.09	28.9%	2.14	2.66	11.0	0.87	31.8%	36.4%	31.8%
42	Eduardo Rodriguez	ARI	7.45	7.45	0.0%	5.63	6.16	9.2	0.87	26.9%	30.8%	42.3%
43	Edward Cabrera	CHC	7.45	3.72	10.0%	3.77	4.52	9.2	0.87	39.3%	35.7%	25.0%
44	Elmer Rodríguez	NYY	9.00	4.50	10.5%	3.72	4.17	4.0	0.87	16.7%	58.3%	25.0%
45	Emerson Hancock	SEA	7.71	1.93	14.0%	3.79	4.10	9.1	0.90	27.3%	39.4%	33.3%
46	Emmet Sheehan	LAD	12.96	4.32	19.0%	4.53	3.76	8.1	0.90	16.0%	28.0%	56.0%
