#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	Stuff+
83	Nolan McLean	NYM	10.48	3.46	18.9%	3.42	3.49	83.1	0.87	108
84	Bailey Ober	MIN	6.21	2.43	10.0%	4.91	4.79	66.2	0.87	93
85	Joe Ryan	MIN	10.20	1.85	23.0%	3.41	3.16	87.1	0.87	107
86	Taj Bradley	MIN	10.05	3.77	16.1%	4.03	3.94	71.2	0.88	108
87	Simeon Woods Richardson	MIN	4.84	4.63	0.5%	6.03	5.89	44.2	0.87	87
88	Mick Abel	MIN	10.06	3.18	17.8%	3.94	3.65	17.0	0.87	107
89	Mike Paredes	MIN	7.04	2.35	12.9%	4.84	4.26	7.2	0.85	95
90	Zebby Matthews	MIN	7.06	1.87	14.0%	4.28	4.19	43.1	0.88	95
91	Connor Prielipp	MIN	9.24	3.62	14.3%	4.23	4.11	49.2	0.88	103
92	Brandon Woodruff	MIL	7.50	2.10	14.9%	4.56	4.33	30.0	0.87	97
93	Kyle Harrison	MIL	10.96	2.47	23.2%	3.16	3.11	65.2	0.87	106
94	Shane Drohan	MIL	8.22	3.91	11.0%	4.32	4.45	23.0	0.87	98
95	Coleman Crow	MIL	5.40	2.70	6.6%	5.30	5.13	16.2	0.88	102
96	Robert Gasser	MIL	9.00	4.13	12.1%	5.14	4.64	24.0	0.88	104
97	Chad Patrick	MIL	6.99	4.76	5.8%	5.18	5.28	28.1	0.88	98
98	Logan Henderson	MIL	11.74	2.35	26.7%	3.02	2.97	23.0	0.87	107
99	Jacob Misiorowski	MIL	13.55	2.28	33.1%	2.04	2.13	87.0	0.88	125
100	Brandon Sproat	MIL	8.95	4.15	12.3%	4.40	4.31	56.1	0.86	99
101	Sandy Alcantara	MIA	6.71	2.09	12.3%	4.12	4.24	103.1	0.87	102
102	Lake Bachar	MIA	11.74	2.35	29.6%	2.82	2.44	7.2	0.87	97
103	Tyler Phillips	MIA	7.64	4.08	9.2%	4.36	4.61	17.2	0.87	94
104	Janson Junk	MIA	6.45	1.95	11.8%	4.22	4.38	60.0	0.87	101
105	Ryan Gusto	MIA	5.06	4.22	1.9%	5.47	5.58	10.2	0.87	95
106	Max Meyer	MIA	10.06	3.39	17.8%	3.72	3.67	85.0	0.88	97
107	Eury Pérez	MIA	10.34	4.02	16.6%	4.21	3.91	62.2	0.88	118
108	Robby Snelling	MIA	3.60	7.20	-9.1%	6.18	7.25	5.0	0.87	105
109	Tyler Glasnow	LAD	11.12	2.95	24.3%	2.88	2.98	39.2	0.88	104
110	Shohei Ohtani	LAD	9.53	2.69	19.4%	3.39	3.39	73.2	0.87	113
111	Emmet Sheehan	LAD	10.07	2.38	20.4%	3.62	3.42	64.1	0.88	98
112	Justin Wrobleski	LAD	5.73	1.79	11.0%	4.35	4.49	75.1	0.88	95
113	Yoshinobu Yamamoto	LAD	8.40	1.58	20.1%	3.21	3.31	85.2	0.87	103
114	Roki Sasaki	LAD	9.24	3.47	14.8%	4.01	3.97	62.1	0.87	107
115	Yusei Kikuchi	LAA	9.58	4.06	13.4%	4.24	4.21	31.0	0.88	98
116	José Soriano	LAA	9.52	4.34	13.9%	3.71	4.01	87.0	0.87	100
117	Grayson Rodriguez	LAA	8.42	5.26	7.3%	4.83	4.97	25.2	0.87	104
118	Sam Aldegheri	LAA	3.75	6.00	-5.2%	7.24	6.96	12.0	0.89	91
119	Reid Detmers	LAA	10.23	2.45	21.4%	3.52	3.33	88.0	0.86	105
120	Jack Kochanowicz	LAA	6.61	5.06	3.7%	4.97	5.06	64.0	0.88	94
121	Walbert Ureña	LAA	8.31	4.75	9.3%	4.43	4.60	60.2	0.87	100
