#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
63	Eric Lauer	2 Tms	5.92	3.33	6.8%	5.38	5.29	48.2	0.87	17.0%	31.4%	51.6%
64	Erick Fedde	CHW	5.72	3.20	6.5%	5.14	5.14	39.1	0.86	22.0%	34.6%	43.3%
65	Eury Pérez	MIA	10.34	4.02	16.6%	4.22	3.92	62.2	0.88	18.2%	33.3%	48.4%
66	Foster Griffin	WSN	8.57	2.46	16.4%	3.80	3.79	84.0	0.86	19.3%	43.8%	36.9%
67	Framber Valdez	DET	7.21	3.44	9.5%	4.36	4.43	83.2	0.88	18.2%	50.8%	31.0%
68	Freddy Peralta	NYM	8.78	3.58	13.4%	3.94	4.13	83.0	0.88	22.0%	43.6%	34.3%
69	Gage Jump	ATH	7.71	2.67	14.4%	4.20	4.08	30.1	0.87	16.0%	40.7%	43.2%
70	Garrett Crochet	BOS	11.10	3.30	18.8%	3.73	3.57	30.0	0.88	25.9%	36.5%	37.6%
71	Gavin Williams	CLE	10.11	2.95	19.8%	3.29	3.42	91.2	0.86	16.8%	46.6%	36.6%
72	George Kirby	SEA	7.90	2.10	15.5%	3.59	3.76	90.0	0.87	16.9%	50.4%	32.7%
73	Germán Márquez	SDP	5.76	3.64	5.5%	5.45	5.37	29.2	0.87	18.9%	32.6%	48.4%
74	Gerrit Cole	NYY	7.71	2.57	14.3%	4.43	4.26	28.0	0.87	16.7%	33.3%	50.0%
75	Grant Holmes	ATL	8.00	4.19	9.7%	4.57	4.65	68.2	0.88	18.8%	41.1%	40.1%
76	Grant Taylor	CHW	9.00	0.00	31.3%	3.19	2.83	5.0	0.87	9.1%	27.3%	63.6%
77	Grayson Rodriguez	LAA	8.42	5.26	7.3%	4.85	4.98	25.2	0.87	31.3%	32.5%	36.1%
78	Griffin Canning	SDP	9.32	5.26	10.4%	4.33	4.57	37.2	0.88	13.7%	48.0%	38.2%
79	Griffin Jax	TBR	8.10	2.48	15.8%	3.54	3.84	40.0	0.88	21.8%	43.6%	34.5%
80	Huascar Brazobán	NYM	5.14	9.00	-9.4%	6.67	7.21	7.0	0.88	10.0%	60.0%	30.0%
81	Hunter Brown	HOU	13.22	4.96	23.4%	2.64	3.24	16.1	0.87	19.4%	51.6%	29.0%
82	Hunter Dobbins	STL	9.35	5.19	10.3%	4.31	4.56	8.2	0.88	20.0%	44.0%	36.0%
83	Ian Seymour	TBR	10.50	1.50	27.3%	3.76	3.33	6.0	0.87	7.1%	21.4%	71.4%
84	J.T. Ginn	ATH	8.19	3.84	11.8%	4.09	4.28	70.1	0.86	17.0%	48.9%	34.0%
85	Jack Flaherty	DET	10.69	4.66	14.4%	4.55	4.22	65.2	0.88	21.1%	30.3%	48.6%
86	Jack Kochanowicz	LAA	6.61	5.06	3.7%	4.98	5.07	64.0	0.88	13.6%	56.8%	29.6%
87	Jack Leiter	TEX	9.34	3.94	13.5%	4.24	4.20	80.0	0.88	22.8%	36.6%	40.5%
88	Jack Perkins	ATH	11.08	4.85	14.8%	3.75	4.06	13.0	0.87	28.9%	36.8%	34.2%
89	Jacob deGrom	TEX	10.67	1.96	24.1%	3.24	3.11	82.2	0.87	20.5%	31.6%	47.9%
90	Jacob Lopez	ATH	6.80	6.00	1.8%	6.18	5.91	45.0	0.88	17.1%	31.6%	51.3%
91	Jacob Misiorowski	MIL	13.35	2.23	32.6%	2.11	2.19	93.0	0.88	20.1%	45.7%	34.2%
92	Jake Bennett	BOS	5.66	2.18	9.4%	4.09	4.33	20.2	0.87	15.9%	54.0%	30.2%
93	Jake Irvin	WSN	10.10	3.83	15.8%	4.19	3.93	51.2	0.87	18.4%	39.7%	41.8%
94	Jameson Taillon	CHC	7.85	3.06	12.5%	4.70	4.44	67.2	0.87	15.3%	34.7%	50.0%
95	Janson Junk	MIA	6.45	1.95	11.8%	4.23	4.39	60.0	0.87	17.4%	43.2%	39.5%
96	Jared Jones	PIT	9.35	3.12	15.4%	3.96	3.94	17.1	0.88	16.7%	42.6%	40.7%
97	Jason Alexander	HOU	6.00	2.25	10.0%	4.76	4.60	12.0	0.89	13.2%	44.7%	42.1%
98	Javier Assad	CHC	4.94	1.65	9.3%	4.30	4.59	27.1	0.87	14.9%	48.3%	36.8%
99	Jeffrey Springs	ATH	7.84	2.94	12.6%	4.54	4.41	82.2	0.88	19.6%	34.1%	46.3%
100	Jesse Scholtens	TBR	8.71	3.48	12.8%	4.93	4.30	10.1	0.87	16.1%	38.7%	45.2%
101	Jesús Luzardo	PHI	10.19	2.84	19.2%	3.18	3.40	85.2	0.85	22.1%	47.6%	30.3%
102	Joe Boyle	TBR	9.19	3.45	15.2%	4.02	3.99	15.2	0.88	15.9%	40.9%	43.2%
103	Joe Ryan	MIN	10.20	1.85	23.0%	3.42	3.17	87.1	0.87	17.1%	36.8%	46.1%
104	Joey Cantillo	CLE	8.38	4.50	9.9%	4.54	4.63	72.0	0.87	16.1%	42.4%	41.5%
105	Jordan Wicks	CHC	8.53	1.42	14.7%	4.04	3.88	6.1	0.87	23.1%	46.2%	30.8%
106	Jose Quintana	COL	4.39	3.73	1.7%	5.88	5.89	41.0	0.87	17.9%	34.3%	47.9%
107	José Soriano	LAA	9.59	4.50	13.5%	3.75	4.06	92.0	0.87	15.7%	53.4%	30.9%
108	JR Ritchie	ATL	7.34	5.58	4.4%	5.13	5.29	30.2	0.88	20.2%	44.9%	34.8%
109	Justin Wrobleski	LAD	5.73	1.79	11.0%	4.37	4.50	75.1	0.88	18.0%	41.6%	40.3%
110	Kai-Wei Teng	HOU	9.96	4.98	11.9%	4.42	4.35	34.1	0.88	25.0%	42.7%	32.3%
111	Keider Montero	DET	5.97	2.12	10.8%	4.94	4.79	72.1	0.87	13.2%	34.2%	52.5%
112	Kevin Gausman	TOR	9.00	2.02	18.9%	3.62	3.60	89.0	0.84	19.0%	38.3%	42.7%
113	Kodai Senga	NYM	10.50	6.38	9.6%	5.13	4.90	24.0	0.87	22.4%	26.9%	50.7%
114	Kris Bubic	KCR	9.12	4.65	12.1%	4.14	4.38	50.1	0.88	18.0%	43.8%	38.3%
115	Kumar Rocker	TEX	7.19	3.96	8.0%	4.63	4.76	61.1	0.87	18.5%	45.6%	35.9%
116	Kyle Bradish	BAL	9.44	4.56	12.5%	3.98	4.24	81.0	0.87	16.7%	48.6%	34.7%
117	Kyle Freeland	COL	7.77	2.18	13.4%	4.39	4.23	66.0	0.87	20.9%	38.7%	40.4%
118	Kyle Harrison	MIL	10.96	2.47	23.2%	3.17	3.12	65.2	0.87	25.3%	34.0%	40.7%
119	Kyle Leahy	STL	7.59	3.34	10.5%	4.17	4.40	70.0	0.88	24.6%	44.6%	30.8%
120	Lake Bachar	MIA	11.00	4.00	19.4%	3.48	3.55	9.0	0.87	21.1%	42.1%	36.8%
121	Lance McCullers Jr.	HOU	9.84	5.03	12.2%	4.15	4.36	39.1	0.83	21.9%	42.9%	35.2%
